Time,Author,Headline,Target
2019/5/14 6:25,Tabooalley,Trading Bitcoin,BTCUSD
2019/5/16 19:31,forexsaint,BTCUSD SHORT >Classical BULL TRAP >Bulls should have tight SL,BTCUSD
2019/5/17 1:55,KQMarkets,Bitcoin struggling to consolidate at Fibonnaci level,BTCUSD
2019/5/17 11:06,kriptomaster,"""Short"" Bitcoin ...",BTCUSDT
2019/5/18 13:02,coinselor,SHORT  Bitcoin Short - Parabola retracement,XBTUSD
2019/5/18 19:22,Plethron1,Bitcoin is in a tightening range (triangle formation),BTCTUSD
2019/5/19 3:50,harribatu,Sell to 6600 $,BTCUSD
2019/6/7 3:13,Paranoid_Trade_Decisons,Short Bitcoin BTCUSD,BTCUSD
2019/6/10 22:51,jurlvarg,BTC possible short?,XBTUSD
2019/7/2 13:44,WWOMY,Short Bitcoin,BTCUSD
2019/7/4 18:55,HuPan,"Short bitcoin, from ~ 11888",BTCUSDT
2019/7/6 6:00,AdidogCEO,short scalp xbt/usd,XBTUSD
2019/7/7 6:50,AdidogCEO,short xbt/usd,XBTUSD
2019/7/22 2:56,StockGuild,$BCH $BCH.X To Make Big Move down to $165 Following $BTC.X Drop,BCHUSD
2019/7/22 22:47,tradingwithanthony,BTCUSD Technical Analysis short trade setup (video),BTCUSDT
2019/7/22 23:25,AnkitSalgia,SHORT Short Bitcoin H&S pattern breakout complete,BTCUSD
2019/7/24 3:20,Cidoguy,Shorting Bitcoin to 8k,XBT
2019/7/24 5:12,AdamMalysz,Bitcoin forecast for next days,BTCUSD
2019/8/8 23:17,Alexandreluz,"For short , Bitcoin testing again the uptrend line at U$ 10800.",BTCUSD
2019/8/11 17:58,CryptoMobster,"BTC GOING BELOW $10,000? POSSIBLE RETRACEMENT TO THOSE LEVELS",XBT
2019/8/11 20:52,binishaqabdulla,SHORT BITCOIN,BTCUSD
2019/8/12 7:29,squishe,BTC Shortboi Counter-trade me for free monies!,XBT
2019/8/13 3:11,uzgaroth,SHORT BITCOIN $10600 USD COMING SOON,BTCUSD
2019/8/13 21:10,UnknownUnicorn4649511,One Last Hunt Before It Happens,XBTUSD
2019/8/15 1:14,TehranCrypto,Bitcoin - Kumo Gap Gravity,BTCUSD
2019/8/29 12:00,kingali08,Shorting bitcoin until 8k to 7k region,XBTUSD
2019/8/29 16:51,TopTradersGuide,XBT - Short,XBTUSD
2019/8/29 21:17,EcoTrader-tv,Bitcoin Update #13 - Black Hole Sun !,BTCUSD
2019/8/30 21:02,ThinkingAntsOk,Weekly and Daily analysis on BITCOIN by ThinkingAntsOk,BTCUSD
2019/8/31 8:12,uzgaroth,"SHORT BITCOIN, FREE FALL ... $ 9000 FIRST STOP // GUILT BAKKT ;)",BTCUSD
2019/9/2 8:25,AdidogCEO,XBT/USD short scalp,XBTUSD
2019/9/3 10:13,krimmouad5,Short Bitcoin To 10 k for correction,XBTUSD
2019/9/13 20:27,depruem,Let's short bitcoin on a really short-term activity.,BTCUSD
2019/9/21 17:30,Garbatsha,Opportunity for selling BTCUSD!!!,BTCUSD
2019/9/23 2:59,UnknownUnicorn2876186,"Short Bitcoin, a new downtrend is beginning",BTCUSD
2019/9/23 10:27,cryptopaul80,BTCUSD,BTCUSD
2019/9/24 1:36,LiBZ42,Short Bitcoin on a bearish retest.,XBTUSD
2019/9/25 17:34,koboltrading,#BTC #Bitcoin #BTCUSD requires your best Risk Management,BTCUSD
2019/9/28 22:48,PurpleCrypto,My Secret BTC Chart,BTCUSDT
2019/9/29 14:33,MrRenev,Crypto bull calls: A running gag. Part 2. PROVES BTC IS A PONZI.,BTCUSD
2019/9/30 11:05,IsaacAsimov,0039 - Short Bitcoin,BTCUSD
2019/10/13 7:40,LeidyMariana,BTC SELL POINT,BTCUSDT
2019/10/14 18:58,KQMarkets,Bitcoin - Short Below Key Resistance Level,BTCUSD
2019/10/15 1:06,The_Egyption_King,Bitcoin Scalping Opportunity!,XBTUSD
2019/10/15 17:26,JohnScam,BTC BEARISH PREPARE,XBTUSD
2019/10/16 15:59,chorny.capital,Bitcoin Cash (BCHUSD) short.,BCHUSDT
2019/10/22 13:21,TehranCrypto,Bitcoin: Diving,BTCUSD
