Date,Price,Volume,Index,Spreads,Hash,GT,GD,ABT
20180925,6458.375,7340,37,0.043701014,60424230.77,8,1199.45,514.8639053
20180926,6463.54,8640,37,0.041809142,49588904.48,8,1198.8,620.3956835
20180927,6584.35,9340,42,0.044552808,51275772.42,8,1196,599.048951
20180928,6675.755,9570,42,0.042804487,55159014.32,8,1183.5,562.5714286
20180929,6554.825,9420,37,0.04808517,54842160.16,8,1210.03,562.8092105
20180930,6642.82,9340,34,0.04963547,59209690.01,8,1285.9,535.1226994
20181001,6586.57,9190,35,0.037694193,56450698.55,8,1185.3,547.8291139
20181002,6548.495,9340,33,0.03547716,49049230.21,8,1192.65,633.9708029
20181003,6483.025,9210,36,0.030849835,51557387.84,8,1203.5,595.8551724
20181004,6554.59,9310,29,0.030448996,54702265.51,8,1199.45,576.1666667
20181005,6615.265,9340,37,0.018692855,48590450.01,8,1201.1,665.0153846
20181006,6600.165,9180,34,0.020044072,46334266.6,8,1306.92,690.088
20181007,6578.755,77.06,29,0.02634037,53328813.47,8,1219.54,601.5915493
20181008,6631.66,119.68,26,0.021865567,49925242.74,8,1194.8,649.0222222
20181009,6623.195,80.79,31,0.019073179,49012509.38,8,1187.4,663.5153846
20181010,6560.54,101.93,28,0.018456164,53515685.91,8,1186.4,597.5
20181011,6376.77,245.28,19,0.029462184,58858858.57,8,1201.1,545.6855346
20181012,6235.21,147.4,13,0.028845561,48745687.25,8,1218.75,655.5151515
20181013,6259.825,94.45,15,0.033809,53853917.31,8,1316.4,611.6241135
20181014,6296.865,99.38,18,0.026659452,41941062.73,8,1233.05,758.9824561
20181015,6739.8,443.33,20,0.041487702,60242772.58,8,1233,530.1604938
20181016,6635.225,155.85,24,0.037712946,50246228.32,8,1228.85,637.1111111
20181017,6550.4,136.71,23,0.032069801,50845952.05,8,1226.75,633.2681159
20181018,6530.66,134.15,26,0.03667299,51133009.38,8,1224.6,623.6014493
20181019,6476.225,121.44,24,0.029571017,52400452.04,8,1228.25,598.7323944
20181020,6520.325,97.77,21,0.038284842,50872901.73,8,1253.87,616.2167832
20181021,6515.93,92.94,21,0.030845059,49667616.92,7,1255.28,626.2028986
20181022,6495.805,101.57,27,0.028976542,55355228.37,7,1222.9,555.1032258
20181023,6467.595,108.86,24,0.026750293,55875982.13,7,1235.6,554.7077922
20181024,6502.04,98.74,23,0.024329293,41335243.06,7,1231.65,774.460177
20181025,6465.1,97.43,25,0.026396858,49173326.61,7,1232.15,626.0145985
20181026,6477.905,97.17,29,0.029894567,51601583.61,7,1236.05,606.4475524
20181027,6462.475,76.72,33,0.026330235,48785456.43,7,1210.66,635.9779412
20181028,6463.99,93.97,35,0.02502644,49940210.25,7,1210.66,620.1571429
20181029,6382.985,160.52,34,0.026337941,52468029.47,7,1230.75,586.7876712
20181030,6313.49,128.21,31,0.027834389,55007956.4,7,1220,563.2337662
20181031,6316.37,129.06,32,0.026242537,58650410.23,7,1217.7,531.803681
20181101,6362.595,124.16,29,0.025239837,56069058.83,7,1223.25,554.7077922
20181102,6396.25,135.87,36,0.023832991,51544735.92,7,1235.5,604.7972028
20181103,6367.525,112.84,36,0.023500819,57709266.79,7,1310.44,540.1801242
20181104,6425.04,128.76,41,0.024876289,45926796.81,8,1294.15,674.5284553
20181105,6441.245,128.51,42,0.022614132,51457960.94,8,1231.6,622.6458333
20181106,6447.685,154.87,42,0.021377481,45819048.76,8,1234.85,675.1328125
20181107,6519.69,170.76,48,0.02534632,47564438.57,8,1235.05,656.0923077
20181108,6490.345,159.3,51,0.028179293,43341731.09,8,1223.45,723.4214876
20181109,6405.21,151.6,47,0.026394827,45570158.91,8,1219.05,680.3543307
20181110,6398.045,115.87,52,0.034543,47104615.54,8,1207.41,657.4732824
20181111,6370.28,127.4,54,0.035459741,52642379.01,10,1310.44,589.369863
20181112,6393.14,130.16,52,0.028277032,50391740.75,10,1207.05,621.4357143
20181113,6352.505,137.6,56,0.027942504,43013275.8,10,1197.55,722.1583333
20181114,5922.815,438.21,49,0.045861116,48005492.64,10,1201.45,641.4592593
20181115,5533.905,375.86,28,0.055101622,45107023.9,10,1210.6,680.496063
20181116,5582.205,224.12,23,0.040931657,46226057.83,10,1215.8,684.8809524
20181117,5563.355,156.51,24,0.043030294,47994490.06,10,1253.42,596.0413793
20181118,5634.65,158.68,26,0.040543484,40499503.57,13,1290.09,702.1219512
20181119,5186.495,478.26,28,0.057905674,41663341.56,13,1223.55,683.9920635
20181120,4560.905,714.08,21,0.092436336,44618162.81,13,1223.1,654.5454545
20181121,4502.565,412.74,15,0.072363906,35015550.5,13,1224,821.8095238
20181122,4468.965,261.85,14,0.058197257,40262489.2,13,1228.25,712.7459016
20181123,4288.335,348.99,12,0.070525435,41962402.67,13,1222.15,679.56
20181124,4086.6,382.72,15,0.077199181,47257347.64,13,1274.21,611.3566434
20181125,3857.985,619.95,9,0.095307209,41837562.69,13,1287.11,683.2125984
20181126,3861.755,571.04,17,0.073693199,37346780.58,13,1226.65,777.6306306
20181127,3746.005,457.27,11,0.066608112,43400746.81,13,1225.05,659.7862595
20181128,4110.755,533.04,14,0.058491562,38760438.81,13,1213.2,732.8389831
20181129,4287.535,414.46,18,0.062962829,35654511.2,13,1226.45,807.7809524
20181130,4123.685,444.52,19,0.064996029,33310081.25,13,1220.45,869.5643564
